Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,0.01891803741455078
2022-01-11,2022-01-12,0.023218393325805664
2022-01-12,2022-01-13,0.02271413803100586
2022-01-13,2022-01-14,0.023077011108398438
2022-01-14,2022-01-17,0.02285599708557129
2022-01-17,2022-01-18,0.023093461990356445
2022-01-18,2022-01-19,0.023203134536743164
2022-01-19,2022-01-20,0.023096323013305664
2022-01-20,2022-01-21,0.023180484771728516
2022-01-21,2022-01-24,0.023156166076660156
2022-01-24,2022-01-25,0.022940397262573242
2022-01-25,2022-01-26,0.023270368576049805
2022-01-26,2022-01-27,0.023175716400146484
2022-01-27,2022-01-28,0.023193359375
2022-01-28,2022-01-31,0.023117542266845703
2022-01-31,2022-02-01,0.023068904876708984
2022-02-01,2022-02-02,0.02317500114440918
2022-02-02,2022-02-03,0.022951602935791016
2022-02-03,2022-02-04,0.023240089416503906
2022-02-04,2022-02-07,0.022938013076782227
2022-02-07,2022-02-08,0.022928476333618164
2022-02-08,2022-02-09,0.023519515991210938
2022-02-09,2022-02-10,0.02296161651611328
2022-02-10,2022-02-11,0.023014068603515625
2022-02-11,2022-02-14,0.023138046264648438
2022-02-14,2022-02-15,0.0229184627532959
2022-02-15,2022-02-16,0.02306509017944336
2022-02-16,2022-02-17,0.02288031578063965
2022-02-17,2022-02-18,0.023000240325927734
2022-02-18,2022-02-21,0.02317023277282715
2022-02-21,2022-02-22,0.02301311492919922
2022-02-22,2022-02-23,0.023113489151000977
2022-02-23,2022-02-24,0.023030996322631836
2022-02-24,2022-02-25,0.022858619689941406
2022-02-25,2022-03-02,0.023482799530029297
2022-03-02,2022-03-03,0.023085594177246094
2022-03-03,2022-03-04,0.023110628128051758
2022-03-04,2022-03-07,0.023607730865478516
2022-03-07,2022-03-08,0.02321338653564453
2022-03-08,2022-03-09,0.023314952850341797
2022-03-09,2022-03-10,0.02430438995361328
2022-03-10,2022-03-11,0.02323770523071289
2022-03-11,2022-03-14,0.023056507110595703
2022-03-14,2022-03-15,0.023215293884277344
2022-03-15,2022-03-16,0.023505210876464844
2022-03-16,2022-03-17,0.02296590805053711
2022-03-17,2022-03-18,0.027953624725341797
2022-03-18,2022-03-21,0.02392435073852539
2022-03-21,2022-03-22,0.023020267486572266
2022-03-22,2022-03-23,0.023143291473388672
2022-03-23,2022-03-24,0.02336740493774414
2022-03-24,2022-03-25,0.023006677627563477
2022-03-25,2022-03-28,0.022922992706298828
2022-03-28,2022-03-29,0.02309417724609375
2022-03-29,2022-03-30,0.02291727066040039
2022-03-30,2022-03-31,0.02314162254333496
2022-03-31,2022-04-01,0.02356410026550293
2022-04-01,2022-04-04,0.023169517517089844
2022-04-04,2022-04-05,0.022853374481201172
2022-04-05,2022-04-06,0.022933244705200195
2022-04-06,2022-04-07,0.023126602172851562
2022-04-07,2022-04-08,0.02289605140686035
2022-04-08,2022-04-11,0.02291107177734375
2022-04-11,2022-04-12,0.02333211898803711
2022-04-12,2022-04-13,0.023175954818725586
2022-04-13,2022-04-14,0.02309870719909668
2022-04-14,2022-04-18,0.023479223251342773
2022-04-18,2022-04-19,0.023189783096313477
2022-04-19,2022-04-20,0.022932052612304688
2022-04-20,2022-04-22,0.023134469985961914
2022-04-22,2022-04-25,0.02305293083190918
2022-04-25,2022-04-26,0.023143529891967773
2022-04-26,2022-04-27,0.02306532859802246
2022-04-27,2022-04-28,0.022943735122680664
2022-04-28,2022-04-29,0.023148059844970703
2022-04-29,2022-05-02,0.0234525203704834
2022-05-02,2022-05-03,0.023131370544433594
