Data_Rebalanceamento,Data_Aplicacao,Turnover,Custo_Transacao
2022-01-10,2022-01-11,0.5,0.0
2022-01-11,2022-01-12,0.12575516934636205,0.0
2022-01-12,2022-01-13,0.15924722106188094,0.0
2022-01-13,2022-01-14,0.2459523065729513,0.0
2022-01-14,2022-01-17,0.21135562390746926,0.0
2022-01-17,2022-01-18,0.18117896208510514,0.0
2022-01-18,2022-01-19,0.07983827593624734,0.0
2022-01-19,2022-01-20,0.009062123253906814,0.0
2022-01-20,2022-01-21,0.003880851397789646,0.0
2022-01-21,2022-01-24,0.112716209284537,0.0
2022-01-24,2022-01-25,0.1088220438706918,0.0
2022-01-25,2022-01-26,0.07907338080383783,0.0
2022-01-26,2022-01-27,0.0035599452063549628,0.0
2022-01-27,2022-01-28,0.1335192586329948,0.0
2022-01-28,2022-01-31,0.07799409891957829,0.0
2022-01-31,2022-02-01,0.20057256893003955,0.0
2022-02-01,2022-02-02,0.25348260579912035,0.0
2022-02-02,2022-02-03,0.16933945445191478,0.0
2022-02-03,2022-02-04,0.1562484031779031,0.0
2022-02-04,2022-02-07,0.2672863926508049,0.0
2022-02-07,2022-02-08,0.15380910495122407,0.0
2022-02-08,2022-02-09,0.14633748448586753,0.0
2022-02-09,2022-02-10,0.07964777434746573,0.0
2022-02-10,2022-02-11,0.0049500034801461985,0.0
2022-02-11,2022-02-14,0.0038177076619844118,0.0
2022-02-14,2022-02-15,0.07393205949588501,0.0
2022-02-15,2022-02-16,0.08503059217009601,0.0
2022-02-16,2022-02-17,0.1630671206655997,0.0
2022-02-17,2022-02-18,0.15783181643721594,0.0
2022-02-18,2022-02-21,0.21692771669658406,0.0
2022-02-21,2022-02-22,0.20830947055605692,0.0
2022-02-22,2022-02-23,0.0892994526004903,0.0
2022-02-23,2022-02-24,0.007560350894650979,0.0
2022-02-24,2022-02-25,0.2020801446174086,0.0
2022-02-25,2022-03-02,0.15477149792064307,0.0
2022-03-02,2022-03-03,0.21231400813986911,0.0
2022-03-03,2022-03-04,0.19610459657003063,0.0
2022-03-04,2022-03-07,0.15872010489412694,0.0
2022-03-07,2022-03-08,0.37826739591426517,0.0
2022-03-08,2022-03-09,0.17635162475364835,0.0
2022-03-09,2022-03-10,0.17512485002304168,0.0
2022-03-10,2022-03-11,0.10840776921699609,0.0
2022-03-11,2022-03-14,0.19740297379075888,0.0
2022-03-14,2022-03-15,0.0893790536258244,0.0
2022-03-15,2022-03-16,0.15787397128568123,0.0
2022-03-16,2022-03-17,0.17259613672743013,0.0
2022-03-17,2022-03-18,0.007317243546615809,0.0
2022-03-18,2022-03-21,0.07353661026227801,0.0
2022-03-21,2022-03-22,0.16131484695604453,0.0
2022-03-22,2022-03-23,0.13431907636140827,0.0
2022-03-23,2022-03-24,0.15419049535759968,0.0
2022-03-24,2022-03-25,0.1554208424666554,0.0
2022-03-25,2022-03-28,0.07362906572165975,0.0
2022-03-28,2022-03-29,0.26865680212824516,0.0
2022-03-29,2022-03-30,0.3287946851462188,0.0
2022-03-30,2022-03-31,0.23932294068358856,0.0
2022-03-31,2022-04-01,0.13714619854808427,0.0
2022-04-01,2022-04-04,0.12050164300261332,0.0
2022-04-04,2022-04-05,0.26977568402314844,0.0
2022-04-05,2022-04-06,0.32556106221853937,0.0
2022-04-06,2022-04-07,0.25154192445885726,0.0
2022-04-07,2022-04-08,0.1648225837499916,0.0
2022-04-08,2022-04-11,0.002724141135324827,0.0
2022-04-11,2022-04-12,0.1797708323551872,0.0
2022-04-12,2022-04-13,0.15578482081548053,0.0
2022-04-13,2022-04-14,0.24757935827043853,0.0
2022-04-14,2022-04-18,0.16453292753633664,0.0
2022-04-18,2022-04-19,0.16715225971461045,0.0
2022-04-19,2022-04-20,0.1298261340854924,0.0
2022-04-20,2022-04-22,0.14232157577914217,0.0
2022-04-22,2022-04-25,0.0014618586391307274,0.0
2022-04-25,2022-04-26,0.15203073645580065,0.0
2022-04-26,2022-04-27,0.0020394434924245267,0.0
2022-04-27,2022-04-28,0.07823095897160129,0.0
2022-04-28,2022-04-29,0.004103425600425599,0.0
2022-04-29,2022-05-02,0.27696874046801107,0.0
2022-05-02,2022-05-03,0.09884737792765076,0.0
2022-05-03,2022-05-04,0.08231287631210202,0.0
2022-05-04,2022-05-05,0.08098696196124015,0.0
2022-05-05,2022-05-06,0.10099392851945051,0.0
2022-05-06,2022-05-09,0.21994777928459525,0.0
2022-05-09,2022-05-10,0.17267366270955017,0.0
2022-05-10,2022-05-11,0.32072723309839596,0.0
2022-05-11,2022-05-12,0.16928812800334198,0.0
2022-05-12,2022-05-13,0.08814363766270167,0.0
2022-05-13,2022-05-16,0.0029524590619606807,0.0
2022-05-16,2022-05-17,0.004344801562190911,0.0
2022-05-17,2022-05-18,0.0034328290408813904,0.0
2022-05-18,2022-05-19,0.07530108957169052,0.0
2022-05-19,2022-05-20,0.10516565088010255,0.0
2022-05-20,2022-05-23,0.12562486572754378,0.0
2022-05-23,2022-05-24,0.014817151254473072,0.0
2022-05-24,2022-05-25,0.007125424770945011,0.0
2022-05-25,2022-05-26,0.0029703206753420273,0.0
2022-05-26,2022-05-27,0.1678812725845177,0.0
2022-05-27,2022-05-30,0.16616138972923147,0.0
2022-05-30,2022-05-31,0.0016665435580126217,0.0
2022-05-31,2022-06-01,0.19115223887245042,0.0
2022-06-01,2022-06-02,0.11907372562715891,0.0
2022-06-02,2022-06-03,0.17398611336592537,0.0
2022-06-03,2022-06-06,0.15545955482581067,0.0
2022-06-06,2022-06-07,0.14593288203685373,0.0
2022-06-07,2022-06-08,0.0799932291646923,0.0
2022-06-08,2022-06-09,0.07399043412102578,0.0
2022-06-09,2022-06-10,0.12630758763575023,0.0
2022-06-10,2022-06-13,0.08013833392477179,0.0
2022-06-13,2022-06-14,0.00106754531036456,0.0
2022-06-14,2022-06-15,0.08294042374386976,0.0
2022-06-15,2022-06-17,0.0826461417168597,0.0
2022-06-17,2022-06-20,0.13145444483090543,0.0
2022-06-20,2022-06-21,0.13293160765714246,0.0
2022-06-21,2022-06-22,0.16135016538755576,0.0
2022-06-22,2022-06-23,0.09900654643646528,0.0
2022-06-23,2022-06-24,0.058000443120597454,0.0
2022-06-24,2022-06-27,0.06639110149940147,0.0
2022-06-27,2022-06-28,0.07092418583373741,0.0
2022-06-28,2022-06-29,0.0016973453234113596,0.0
2022-06-29,2022-06-30,0.0024455330722842616,0.0
2022-06-30,2022-07-01,0.06297997347762899,0.0
2022-07-01,2022-07-04,0.0036747490660344086,0.0
2022-07-04,2022-07-05,0.06110644958546643,0.0
2022-07-05,2022-07-06,0.07215174140011568,0.0
2022-07-06,2022-07-07,0.07087386432914045,0.0
2022-07-07,2022-07-08,0.19628714147395399,0.0
2022-07-08,2022-07-11,0.13405973555269984,0.0
2022-07-11,2022-07-12,0.19533155490730592,0.0
2022-07-12,2022-07-13,0.1362160156370242,0.0
2022-07-13,2022-07-14,0.006853894313195743,0.0
2022-07-14,2022-07-15,0.10568009802074424,0.0
2022-07-15,2022-07-18,0.5027232830555248,0.0
2022-07-18,2022-07-19,0.0018221147758930509,0.0
2022-07-19,2022-07-20,0.002337656674255756,0.0
2022-07-20,2022-07-21,0.05578221831046262,0.0
2022-07-21,2022-07-22,0.40953451927244233,0.0
2022-07-22,2022-07-25,0.14273219804707568,0.0
2022-07-25,2022-07-26,0.46021733188980296,0.0
2022-07-26,2022-07-27,0.06179617088596581,0.0
2022-07-27,2022-07-28,0.4227083339980947,0.0
2022-07-28,2022-07-29,0.00720900373464925,0.0
2022-07-29,2022-08-01,0.09717675258827693,0.0
2022-08-01,2022-08-02,0.16002009601242306,0.0
2022-08-02,2022-08-03,0.4269058883740734,0.0
2022-08-03,2022-08-04,0.10459047554390094,0.0
2022-08-04,2022-08-05,0.002338697514412104,0.0
2022-08-05,2022-08-08,0.1078471551042372,0.0
2022-08-08,2022-08-09,0.24645345959652842,0.0
2022-08-09,2022-08-10,0.08294048178238227,0.0
2022-08-10,2022-08-11,0.08526718543887502,0.0
2022-08-11,2022-08-12,0.15425964430045488,0.0
2022-08-12,2022-08-15,0.15496860556698638,0.0
2022-08-15,2022-08-16,0.08230183562159857,0.0
2022-08-16,2022-08-17,0.08142260343513753,0.0
2022-08-17,2022-08-18,0.14320989384035027,0.0
2022-08-18,2022-08-19,0.06838480318508447,0.0
2022-08-19,2022-08-22,0.08044286576300712,0.0
2022-08-22,2022-08-23,0.15748396356331928,0.0
2022-08-23,2022-08-24,0.1527734101653145,0.0
2022-08-24,2022-08-25,0.1657208288572847,0.0
2022-08-25,2022-08-26,0.2238167893466102,0.0
2022-08-26,2022-08-29,0.09526430991728158,0.0
2022-08-29,2022-08-30,0.003113736150479437,0.0
2022-08-30,2022-08-31,0.0850308911653367,0.0
2022-08-31,2022-09-01,0.0778579508244456,0.0
2022-09-01,2022-09-02,0.08075538827051117,0.0
2022-09-02,2022-09-05,0.2321175520581661,0.0
2022-09-05,2022-09-06,0.004450709259352547,0.0
2022-09-06,2022-09-08,0.23391926416442352,0.0
2022-09-08,2022-09-09,0.0018915857248154727,0.0
2022-09-09,2022-09-12,0.16008303299330442,0.0
2022-09-12,2022-09-13,0.1602709285127314,0.0
2022-09-13,2022-09-14,0.2376474161662621,0.0
2022-09-14,2022-09-15,0.3196998586410956,0.0
2022-09-15,2022-09-16,0.08221499350876446,0.0
2022-09-16,2022-09-19,0.08742511809165737,0.0
2022-09-19,2022-09-20,0.07658917828626399,0.0
2022-09-20,2022-09-21,0.22859645945464807,0.0
2022-09-21,2022-09-22,0.09082281533777051,0.0
2022-09-22,2022-09-23,0.159217343378319,0.0
2022-09-23,2022-09-26,0.0846377593047298,0.0
2022-09-26,2022-09-27,0.08956760679918986,0.0
2022-09-27,2022-09-28,0.08847589638880438,0.0
2022-09-28,2022-09-29,0.09848083232951571,0.0
2022-09-29,2022-09-30,0.17524134841652125,0.0
2022-09-30,2022-10-03,0.3260313476090273,0.0
2022-10-03,2022-10-04,0.1036423597546622,0.0
2022-10-04,2022-10-05,0.00992444593600749,0.0
2022-10-05,2022-10-06,0.0006049822451355824,0.0
2022-10-06,2022-10-07,0.1687505086336387,0.0
2022-10-07,2022-10-10,0.08966545728313104,0.0
2022-10-10,2022-10-11,0.09553168961718887,0.0
2022-10-11,2022-10-13,0.17317728927728437,0.0
2022-10-13,2022-10-14,0.09068572929942167,0.0
2022-10-14,2022-10-17,0.08462604682539691,0.0
2022-10-17,2022-10-18,0.16786333512566198,0.0
2022-10-18,2022-10-19,0.08240837265631543,0.0
2022-10-19,2022-10-20,0.17101805060498798,0.0
2022-10-20,2022-10-21,0.00864884721390731,0.0
2022-10-21,2022-10-24,0.005472895036166891,0.0
2022-10-24,2022-10-25,0.0993948931932635,0.0
2022-10-25,2022-10-26,0.1715456885587106,0.0
2022-10-26,2022-10-27,0.16293218268176118,0.0
2022-10-27,2022-10-28,0.23376782284464906,0.0
2022-10-28,2022-10-31,0.26341673832969315,0.0
2022-10-31,2022-11-01,0.15602407626275588,0.0
2022-11-01,2022-11-03,0.21549056975984465,0.0
2022-11-03,2022-11-04,0.29214213337251566,0.0
2022-11-04,2022-11-07,0.25475770837848494,0.0
