Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,61.656150341033936
2022-01-11,2022-01-12,90.26436710357666
2022-01-12,2022-01-13,60.83990025520325
2022-01-13,2022-01-14,61.83554649353027
2022-01-14,2022-01-17,57.391733169555664
2022-01-17,2022-01-18,60.02375078201294
2022-01-18,2022-01-19,81.53875708580017
2022-01-19,2022-01-20,58.025567054748535
2022-01-20,2022-01-21,60.98993396759033
2022-01-21,2022-01-24,59.19273233413696
2022-01-24,2022-01-25,65.9023084640503
2022-01-25,2022-01-26,54.68964648246765
2022-01-26,2022-01-27,80.61639332771301
2022-01-27,2022-01-28,57.01040482521057
2022-01-28,2022-01-31,63.197251319885254
2022-01-31,2022-02-01,58.3667151927948
2022-02-01,2022-02-02,72.56418585777283
2022-02-02,2022-02-03,71.16587805747986
2022-02-03,2022-02-04,49.611716985702515
2022-02-04,2022-02-07,59.20834565162659
2022-02-07,2022-02-08,66.3855710029602
2022-02-08,2022-02-09,73.3256528377533
2022-02-09,2022-02-10,59.609960079193115
2022-02-10,2022-02-11,56.794352531433105
2022-02-11,2022-02-14,59.829153537750244
2022-02-14,2022-02-15,67.04841923713684
2022-02-15,2022-02-16,64.59685850143433
2022-02-16,2022-02-17,82.27462100982666
2022-02-17,2022-02-18,61.94123816490173
2022-02-18,2022-02-21,57.800387382507324
2022-02-21,2022-02-22,68.84952163696289
2022-02-22,2022-02-23,62.716954469680786
2022-02-23,2022-02-24,65.72403740882874
2022-02-24,2022-02-25,56.18990230560303
2022-02-25,2022-03-02,52.75859475135803
2022-03-02,2022-03-03,72.37029218673706
2022-03-03,2022-03-04,56.898120403289795
2022-03-04,2022-03-07,59.03067970275879
2022-03-07,2022-03-08,66.31305599212646
2022-03-08,2022-03-09,63.06165599822998
2022-03-09,2022-03-10,79.67694163322449
2022-03-10,2022-03-11,58.383129596710205
2022-03-11,2022-03-14,56.12864875793457
2022-03-14,2022-03-15,58.501044034957886
2022-03-15,2022-03-16,59.844921827316284
2022-03-16,2022-03-17,63.20970606803894
2022-03-17,2022-03-18,67.1643557548523
2022-03-18,2022-03-21,59.68685555458069
2022-03-21,2022-03-22,52.78076958656311
2022-03-22,2022-03-23,97.62517046928406
2022-03-23,2022-03-24,64.85108017921448
2022-03-24,2022-03-25,67.85285353660583
2022-03-25,2022-03-28,61.56462240219116
2022-03-28,2022-03-29,54.9929358959198
2022-03-29,2022-03-30,55.055734395980835
2022-03-30,2022-03-31,53.909098625183105
2022-03-31,2022-04-01,58.77225613594055
2022-04-01,2022-04-04,56.58145022392273
2022-04-04,2022-04-05,59.73768663406372
2022-04-05,2022-04-06,66.77445340156555
2022-04-06,2022-04-07,62.51475787162781
