,Retorno_Bruto,Retorno_Liquido,Retorno
2022-01-11,0.003962771044741766,0.003962771044741766,0.003962771044741766
2022-01-12,0.004202385598318599,0.004202385598318599,0.004202385598318599
2022-01-13,-0.002328333178661441,-0.002328333178661441,-0.002328333178661441
2022-01-14,0.0027498222365063846,0.0027498222365063846,0.0027498222365063846
2022-01-17,-0.004927563733590682,-0.004927563733590682,-0.004927563733590682
2022-01-18,0.004756375662083931,0.004756375662083931,0.004756375662083931
2022-01-19,0.008879963493861385,0.008879963493861385,0.008879963493861385
2022-01-20,0.0066003631642395436,0.0066003631642395436,0.0066003631642395436
2022-01-21,-0.006083690792741675,-0.006083690792741675,-0.006083690792741675
2022-01-24,-0.004902215153861437,-0.004902215153861437,-0.004902215153861437
2022-01-25,0.002234943886554655,0.002234943886554655,0.002234943886554655
2022-01-26,0.002301975017632617,0.002301975017632617,0.002301975017632617
2022-01-27,0.00927207204910567,0.00927207204910567,0.00927207204910567
2022-01-28,-0.0024413829737433444,-0.0024413829737433444,-0.0024413829737433444
2022-01-31,0.010603679311331656,0.010603679311331656,0.010603679311331656
2022-02-01,-0.004992678405889413,-0.004992678405889413,-0.004992678405889413
2022-02-02,-0.0009865978497487764,-0.0009865978497487764,-0.0009865978497487764
2022-02-03,-0.0007753551195469018,-0.0007753551195469018,-0.0007753551195469018
2022-02-04,-0.006246380227958596,-0.006246380227958596,-0.006246380227958596
2022-02-07,-0.0025918254238901997,-0.0025918254238901997,-0.0025918254238901997
2022-02-08,0.006322297805775532,0.006322297805775532,0.006322297805775532
2022-02-09,0.004824822865927007,0.004824822865927007,0.004824822865927007
2022-02-10,0.006521664628362609,0.006521664628362609,0.006521664628362609
2022-02-11,-0.004776699837907657,-0.004776699837907657,-0.004776699837907657
2022-02-14,0.005523280315267937,0.005523280315267937,0.005523280315267937
2022-02-15,0.00415340866515226,0.00415340866515226,0.00415340866515226
2022-02-16,-0.005345592902558957,-0.005345592902558957,-0.005345592902558957
2022-02-17,-0.0011702115131195963,-0.0011702115131195963,-0.0011702115131195963
2022-02-18,0.014387814422061952,0.014387814422061952,0.014387814422061952
2022-02-21,-0.0022592825696821856,-0.0022592825696821856,-0.0022592825696821856
2022-02-22,0.00716533351408515,0.00716533351408515,0.00716533351408515
2022-02-23,0.0031129418782122656,0.0031129418782122656,0.0031129418782122656
2022-02-24,-0.004530589801738687,-0.004530589801738687,-0.004530589801738687
2022-02-25,-0.002160276483475959,-0.002160276483475959,-0.002160276483475959
2022-03-02,0.003184053003874424,0.003184053003874424,0.003184053003874424
2022-03-03,-1.3327397132609297e-05,-1.3327397132609297e-05,-1.3327397132609297e-05
2022-03-04,0.0032122955186126016,0.0032122955186126016,0.0032122955186126016
