,Retorno_Bruto,Retorno_Liquido,Retorno
2022-01-11,0.00863283125139553,0.00863283125139553,0.00863283125139553
2022-01-12,0.009260576836627274,0.009260576836627274,0.009260576836627274
2022-01-13,-0.006969582426267709,-0.006969582426267709,-0.006969582426267709
2022-01-14,-0.004158995158953725,-0.004158995158953725,-0.004158995158953725
2022-01-17,-0.007377516991383588,-0.007377516991383588,-0.007377516991383588
2022-01-18,-0.012150965751527205,-0.012150965751527205,-0.012150965751527205
2022-01-19,0.0010092385888798665,0.0010092385888798665,0.0010092385888798665
2022-01-20,-0.000969581335854496,-0.000969581335854496,-0.000969581335854496
2022-01-21,-0.0009168912690155346,-0.0009168912690155346,-0.0009168912690155346
2022-01-24,0.0025116893731855754,0.0025116893731855754,0.0025116893731855754
2022-01-25,0.01098778163801574,0.01098778163801574,0.01098778163801574
2022-01-26,-0.008815045996445493,-0.008815045996445493,-0.008815045996445493
2022-01-27,0.0012021146014167014,0.0012021146014167014,0.0012021146014167014
2022-01-28,0.0031532504053072372,0.0031532504053072372,0.0031532504053072372
2022-01-31,0.014533526033408042,0.014533526033408042,0.014533526033408042
2022-02-01,0.014058147402210286,0.014058147402210286,0.014058147402210286
2022-02-02,-0.00861469672185263,-0.00861469672185263,-0.00861469672185263
2022-02-03,-0.017262944387812715,-0.017262944387812715,-0.017262944387812715
2022-02-04,0.0014876909872668664,0.0014876909872668664,0.0014876909872668664
2022-02-07,0.004321208942349402,0.004321208942349402,0.004321208942349402
2022-02-08,0.008572221472884228,0.008572221472884228,0.008572221472884228
2022-02-09,-0.0020986320546616433,-0.0020986320546616433,-0.0020986320546616433
2022-02-10,0.004981919929965869,0.004981919929965869,0.004981919929965869
2022-02-11,-0.009956618862088398,-0.009956618862088398,-0.009956618862088398
2022-02-14,-0.003449180506398084,-0.003449180506398084,-0.003449180506398084
2022-02-15,0.0020065225987022472,0.0020065225987022472,0.0020065225987022472
2022-02-16,0.004178791962113281,0.004178791962113281,0.004178791962113281
2022-02-17,-0.00852804629089007,-0.00852804629089007,-0.00852804629089007
2022-02-18,0.004792629361659031,0.004792629361659031,0.004792629361659031
2022-02-21,-0.018210145647464624,-0.018210145647464624,-0.018210145647464624
2022-02-22,0.009228248027084522,0.009228248027084522,0.009228248027084522
2022-02-23,0.0016056843795828574,0.0016056843795828574,0.0016056843795828574
2022-02-24,-0.0012990660761692658,-0.0012990660761692658,-0.0012990660761692658
2022-02-25,0.0012735215594587598,0.0012735215594587598,0.0012735215594587598
2022-03-02,0.02019967119216995,0.02019967119216995,0.02019967119216995
2022-03-03,-0.0032807751131752622,-0.0032807751131752622,-0.0032807751131752622
2022-03-04,0.008237131870600508,0.008237131870600508,0.008237131870600508
2022-03-07,-0.013865405246028728,-0.013865405246028728,-0.013865405246028728
2022-03-08,-0.0037083278222393547,-0.0037083278222393547,-0.0037083278222393547
2022-03-09,0.00020007558435886205,0.00020007558435886205,0.00020007558435886205
2022-03-10,0.008318289378480441,0.008318289378480441,0.008318289378480441
2022-03-11,-0.009448655276142364,-0.009448655276142364,-0.009448655276142364
2022-03-14,-0.005153265807692452,-0.005153265807692452,-0.005153265807692452
2022-03-15,-0.00759434163219307,-0.00759434163219307,-0.00759434163219307
2022-03-16,0.004374947193352471,0.004374947193352471,0.004374947193352471
2022-03-17,0.008928807297415152,0.008928807297415152,0.008928807297415152
2022-03-18,0.009952365873092606,0.009952365873092606,0.009952365873092606
2022-03-21,0.016499299823362665,0.016499299823362665,0.016499299823362665
2022-03-22,0.006974162920305073,0.006974162920305073,0.006974162920305073
2022-03-23,-0.004562459799947464,-0.004562459799947464,-0.004562459799947464
2022-03-24,-0.0012117381340098993,-0.0012117381340098993,-0.0012117381340098993
2022-03-25,-0.005754881641596576,-0.005754881641596576,-0.005754881641596576
2022-03-28,0.0007561357641344452,0.0007561357641344452,0.0007561357641344452
2022-03-29,0.003952852482033144,0.003952852482033144,0.003952852482033144
2022-03-30,-0.000706110649913554,-0.000706110649913554,-0.000706110649913554
2022-03-31,-0.0022256394317212657,-0.0022256394317212657,-0.0022256394317212657
