Data_Rebalanceamento,Data_Aplicacao,Turnover,Custo_Transacao
2022-01-10,2022-01-11,0.5000000000000001,0.0
2022-01-11,2022-01-12,0.217501673958862,0.0
2022-01-12,2022-01-13,0.33738205646184083,0.0
2022-01-13,2022-01-14,0.1675650247010876,0.0
2022-01-14,2022-01-17,0.45401354795480375,0.0
2022-01-17,2022-01-18,0.36388767997701627,0.0
2022-01-18,2022-01-19,0.688861696913178,0.0
2022-01-19,2022-01-20,0.5164696584117985,0.0
2022-01-20,2022-01-21,0.35772601372282076,0.0
2022-01-21,2022-01-24,0.5360780961335793,0.0
2022-01-24,2022-01-25,0.4239513048260948,0.0
2022-01-25,2022-01-26,0.3608864596603878,0.0
2022-01-26,2022-01-27,0.30014210249681694,0.0
2022-01-27,2022-01-28,0.3272292810336282,0.0
2022-01-28,2022-01-31,0.41365773970488984,0.0
2022-01-31,2022-02-01,0.19494317938900096,0.0
2022-02-01,2022-02-02,0.30201040902908455,0.0
2022-02-02,2022-02-03,0.39049760961048074,0.0
2022-02-03,2022-02-04,0.38679395507462744,0.0
2022-02-04,2022-02-07,0.32502101231260416,0.0
2022-02-07,2022-02-08,0.44946525053721387,0.0
2022-02-08,2022-02-09,0.2006560271899525,0.0
2022-02-09,2022-02-10,0.16540299069390127,0.0
2022-02-10,2022-02-11,0.18928420598902665,0.0
2022-02-11,2022-02-14,0.48353696430030557,0.0
2022-02-14,2022-02-15,0.5030284123618749,0.0
2022-02-15,2022-02-16,0.4319118051864011,0.0
2022-02-16,2022-02-17,0.38018978215911314,0.0
2022-02-17,2022-02-18,0.2132367765373827,0.0
2022-02-18,2022-02-21,0.35557157776472614,0.0
2022-02-21,2022-02-22,0.32465376463254875,0.0
2022-02-22,2022-02-23,0.421686611424252,0.0
2022-02-23,2022-02-24,0.4106192109173014,0.0
2022-02-24,2022-02-25,0.4293032137860958,0.0
2022-02-25,2022-03-02,0.3454337626356951,0.0
2022-03-02,2022-03-03,0.33121295964925057,0.0
2022-03-03,2022-03-04,0.5010384039935971,0.0
2022-03-04,2022-03-07,0.44599435309151114,0.0
2022-03-07,2022-03-08,0.6823177897697629,0.0
2022-03-08,2022-03-09,0.5933334286449159,0.0
2022-03-09,2022-03-10,0.5426989622964105,0.0
2022-03-10,2022-03-11,0.6499999999999999,0.0
2022-03-11,2022-03-14,0.49849046726360374,0.0
2022-03-14,2022-03-15,0.3589998530024354,0.0
2022-03-15,2022-03-16,0.2165574577736121,0.0
2022-03-16,2022-03-17,0.2947938190539582,0.0
2022-03-17,2022-03-18,0.3503703251436334,0.0
2022-03-18,2022-03-21,0.6291046852265233,0.0
2022-03-21,2022-03-22,0.6335681832949379,0.0
2022-03-22,2022-03-23,0.6364286187452912,0.0
2022-03-23,2022-03-24,0.6326099882822582,0.0
2022-03-24,2022-03-25,0.1740014952233706,0.0
2022-03-25,2022-03-28,0.1717539509165627,0.0
2022-03-28,2022-03-29,0.1185416430464156,0.0
2022-03-29,2022-03-30,0.4074041069976383,0.0
2022-03-30,2022-03-31,0.49409523330827243,0.0
2022-03-31,2022-04-01,0.23610655398882763,0.0
2022-04-01,2022-04-04,0.3,0.0
2022-04-04,2022-04-05,0.3488105916525161,0.0
2022-04-05,2022-04-06,0.5780493738512035,0.0
2022-04-06,2022-04-07,0.57720617993285,0.0
2022-04-07,2022-04-08,0.2885813125156281,0.0
2022-04-08,2022-04-11,0.28692071335036273,0.0
2022-04-11,2022-04-12,0.40842389969686166,0.0
2022-04-12,2022-04-13,0.06399339721352587,0.0
2022-04-13,2022-04-14,0.15000000000000008,0.0
2022-04-14,2022-04-18,0.24814922698561404,0.0
2022-04-18,2022-04-19,0.35000000000000003,0.0
2022-04-19,2022-04-20,0.648004813978008,0.0
2022-04-20,2022-04-22,0.55,0.0
2022-04-22,2022-04-25,0.1530685911710683,0.0
2022-04-25,2022-04-26,0.1168522085318462,0.0
2022-04-26,2022-04-27,0.20000000000000007,0.0
2022-04-27,2022-04-28,0.2022314058192486,0.0
2022-04-28,2022-04-29,0.3000000000000001,0.0
2022-04-29,2022-05-02,0.15408517614574208,0.0
2022-05-02,2022-05-03,0.20024759801718056,0.0
2022-05-03,2022-05-04,0.25000000000000006,0.0
2022-05-04,2022-05-05,0.2530124545023483,0.0
2022-05-05,2022-05-06,0.15338923227523588,0.0
2022-05-06,2022-05-09,0.05724895581161736,0.0
2022-05-09,2022-05-10,0.10517686905686906,0.0
2022-05-10,2022-05-11,0.151833666116609,0.0
2022-05-11,2022-05-12,0.15396400823184103,0.0
