Estrategia,K,Quartil,Retorno_Anual_Bruto,Vol_Anual_Bruto,Sharpe_Bruto,Sortino_Bruto,MDD_Bruto,Retorno_Anual_Liquido,Vol_Anual_Liquido,Sharpe_Liquido,Sortino_Liquido,MDD_Liquido,Tempo_Total_Seg
naive,20,0.25,0.22126387151172122,0.14137742671040424,0.6386909581853715,0.9162721030750679,-0.13616305630439204,0.22126387151172122,0.14137742671040424,0.6386909581853715,0.9162721030750679,-0.13616305630439204,59.03991508483887
gmv,20,0.25,0.1883137979244005,0.08972381375409183,0.6349292692337328,0.9311486073836044,-0.07843346514789118,0.1883137979244005,0.08972381375409183,0.6349292692337328,0.9311486073836044,-0.07843346514789118,9265.980322122574
rp_nonconvex,20,0.25,0.19071746837562498,0.0880198190994128,0.6683310185083209,0.9931575185450972,-0.06965041257020037,0.19071746837562498,0.0880198190994128,0.6683310185083209,0.9931575185450972,-0.06965041257020037,122836.24948215485
rp_convex,20,0.25,0.18206814425249473,0.07950574748591455,0.6392732177676856,0.9393503965921938,-0.08740186721750344,0.18206814425249473,0.07950574748591455,0.6392732177676856,0.9393503965921938,-0.08740186721750344,19363.35783791542
