Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,142.46164083480835
2022-01-11,2022-01-12,161.47987341880798
2022-01-12,2022-01-13,140.97659730911255
2022-01-13,2022-01-14,122.13995933532715
2022-01-14,2022-01-17,136.50827479362488
2022-01-17,2022-01-18,109.30997824668884
2022-01-18,2022-01-19,125.50883793830872
2022-01-19,2022-01-20,151.29880213737488
2022-01-20,2022-01-21,184.8530957698822
2022-01-21,2022-01-24,123.54024267196655
2022-01-24,2022-01-25,125.49378657341003
2022-01-25,2022-01-26,143.29076290130615
2022-01-26,2022-01-27,141.98870873451233
2022-01-27,2022-01-28,109.49842119216919
2022-01-28,2022-01-31,139.60640931129456
2022-01-31,2022-02-01,177.81594967842102
2022-02-01,2022-02-02,138.80778169631958
2022-02-02,2022-02-03,156.3879165649414
2022-02-03,2022-02-04,105.98136043548584
2022-02-04,2022-02-07,137.71459221839905
2022-02-07,2022-02-08,141.50559639930725
2022-02-08,2022-02-09,170.34543132781982
2022-02-09,2022-02-10,139.05965566635132
2022-02-10,2022-02-11,117.25623655319214
2022-02-11,2022-02-14,130.4286985397339
2022-02-14,2022-02-15,136.44924020767212
2022-02-15,2022-02-16,139.07895636558533
2022-02-16,2022-02-17,141.376891374588
2022-02-17,2022-02-18,134.611656665802
2022-02-18,2022-02-21,136.14102816581726
2022-02-21,2022-02-22,134.1156725883484
2022-02-22,2022-02-23,135.15412998199463
2022-02-23,2022-02-24,119.56387877464294
2022-02-24,2022-02-25,144.0127830505371
2022-02-25,2022-03-02,132.87249755859375
2022-03-02,2022-03-03,108.55214953422546
2022-03-03,2022-03-04,132.10205936431885
2022-03-04,2022-03-07,134.28978657722473
2022-03-07,2022-03-08,107.38064527511597
2022-03-08,2022-03-09,140.66743731498718
2022-03-09,2022-03-10,154.44739603996277
2022-03-10,2022-03-11,140.27688765525818
2022-03-11,2022-03-14,132.3266065120697
2022-03-14,2022-03-15,130.66077256202698
2022-03-15,2022-03-16,126.65702748298645
2022-03-16,2022-03-17,139.57435178756714
2022-03-17,2022-03-18,129.00948095321655
2022-03-18,2022-03-21,141.48537135124207
2022-03-21,2022-03-22,119.27010607719421
2022-03-22,2022-03-23,153.72416591644287
2022-03-23,2022-03-24,129.33686423301697
2022-03-24,2022-03-25,113.67962646484375
2022-03-25,2022-03-28,121.97195076942444
2022-03-28,2022-03-29,123.81131172180176
2022-03-29,2022-03-30,141.67929220199585
2022-03-30,2022-03-31,137.55372667312622
2022-03-31,2022-04-01,130.53774571418762
2022-04-01,2022-04-04,112.3612551689148
2022-04-04,2022-04-05,145.63976335525513
2022-04-05,2022-04-06,127.67162370681763
2022-04-06,2022-04-07,132.06336569786072
2022-04-07,2022-04-08,130.1253263950348
2022-04-08,2022-04-11,136.97164177894592
2022-04-11,2022-04-12,122.02475547790527
2022-04-12,2022-04-13,162.62943196296692
2022-04-13,2022-04-14,136.93578910827637
2022-04-14,2022-04-18,132.14109683036804
2022-04-18,2022-04-19,118.44425916671753
2022-04-19,2022-04-20,126.55292010307312
2022-04-20,2022-04-22,141.69190287590027
2022-04-22,2022-04-25,152.559020280838
