Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-01-10,2022-01-11,0.02435016632080078
2022-01-11,2022-01-12,0.02185797691345215
2022-01-12,2022-01-13,0.023373842239379883
2022-01-13,2022-01-14,0.03702831268310547
2022-01-14,2022-01-17,0.02273845672607422
2022-01-17,2022-01-18,0.0227968692779541
2022-01-18,2022-01-19,0.022774219512939453
2022-01-19,2022-01-20,0.02189350128173828
2022-01-20,2022-01-21,0.021964311599731445
2022-01-21,2022-01-24,0.014177083969116211
2022-01-24,2022-01-25,0.021019697189331055
2022-01-25,2022-01-26,0.020806312561035156
2022-01-26,2022-01-27,0.0210113525390625
2022-01-27,2022-01-28,0.02415609359741211
2022-01-28,2022-01-31,0.021428346633911133
2022-01-31,2022-02-01,0.026938438415527344
2022-02-01,2022-02-02,0.027766942977905273
2022-02-02,2022-02-03,0.020978212356567383
2022-02-03,2022-02-04,0.018600940704345703
2022-02-04,2022-02-07,0.01820969581604004
2022-02-07,2022-02-08,0.017960786819458008
2022-02-08,2022-02-09,0.022785186767578125
2022-02-09,2022-02-10,0.014160394668579102
2022-02-10,2022-02-11,0.01716303825378418
2022-02-11,2022-02-14,0.016900062561035156
2022-02-14,2022-02-15,0.014279365539550781
2022-02-15,2022-02-16,0.016274452209472656
2022-02-16,2022-02-17,0.0158841609954834
2022-02-17,2022-02-18,0.014168262481689453
2022-02-18,2022-02-21,0.033493995666503906
2022-02-21,2022-02-22,0.02248668670654297
2022-02-22,2022-02-23,0.022065401077270508
2022-02-23,2022-02-24,0.017180204391479492
2022-02-24,2022-02-25,0.016049623489379883
2022-02-25,2022-03-02,0.014181375503540039
2022-03-02,2022-03-03,0.014171123504638672
2022-03-03,2022-03-04,0.014098405838012695
2022-03-04,2022-03-07,0.014226913452148438
2022-03-07,2022-03-08,0.022032976150512695
2022-03-08,2022-03-09,0.014207839965820312
2022-03-09,2022-03-10,0.019768714904785156
2022-03-10,2022-03-11,0.01990962028503418
2022-03-11,2022-03-14,0.022308826446533203
2022-03-14,2022-03-15,0.022385358810424805
2022-03-15,2022-03-16,0.02227497100830078
2022-03-16,2022-03-17,0.02279829978942871
2022-03-17,2022-03-18,0.022563934326171875
2022-03-18,2022-03-21,0.022241592407226562
2022-03-21,2022-03-22,0.014206647872924805
2022-03-22,2022-03-23,0.014315366744995117
2022-03-23,2022-03-24,0.030706167221069336
2022-03-24,2022-03-25,0.014440774917602539
2022-03-25,2022-03-28,0.02210831642150879
2022-03-28,2022-03-29,0.014284372329711914
2022-03-29,2022-03-30,0.014135599136352539
2022-03-30,2022-03-31,0.022161245346069336
2022-03-31,2022-04-01,0.014315366744995117
2022-04-01,2022-04-04,0.014168500900268555
2022-04-04,2022-04-05,0.014300107955932617
2022-04-05,2022-04-06,0.022054672241210938
2022-04-06,2022-04-07,0.021351099014282227
2022-04-07,2022-04-08,0.021626949310302734
2022-04-08,2022-04-11,0.022367000579833984
2022-04-11,2022-04-12,0.02213883399963379
2022-04-12,2022-04-13,0.02155590057373047
2022-04-13,2022-04-14,0.021349668502807617
2022-04-14,2022-04-18,0.022220373153686523
2022-04-18,2022-04-19,0.022128820419311523
2022-04-19,2022-04-20,0.022331714630126953
2022-04-20,2022-04-22,0.02206730842590332
2022-04-22,2022-04-25,0.022330284118652344
2022-04-25,2022-04-26,0.0221405029296875
2022-04-26,2022-04-27,0.02243828773498535
2022-04-27,2022-04-28,0.022176027297973633
2022-04-28,2022-04-29,0.022295713424682617
2022-04-29,2022-05-02,0.022293806076049805
2022-05-02,2022-05-03,0.014287710189819336
2022-05-03,2022-05-04,0.022377729415893555
2022-05-04,2022-05-05,0.02213764190673828
2022-05-05,2022-05-06,0.01436471939086914
2022-05-06,2022-05-09,0.022312164306640625
2022-05-09,2022-05-10,0.022053003311157227
2022-05-10,2022-05-11,0.02232193946838379
2022-05-11,2022-05-12,0.014133930206298828
2022-05-12,2022-05-13,0.014127016067504883
2022-05-13,2022-05-16,0.022393226623535156
2022-05-16,2022-05-17,0.022037506103515625
2022-05-17,2022-05-18,0.022183656692504883
2022-05-18,2022-05-19,0.014187097549438477
2022-05-19,2022-05-20,0.014237165451049805
2022-05-20,2022-05-23,0.022157669067382812
2022-05-23,2022-05-24,0.022295713424682617
2022-05-24,2022-05-25,0.022211074829101562
2022-05-25,2022-05-26,0.022438526153564453
2022-05-26,2022-05-27,0.022083759307861328
2022-05-27,2022-05-30,0.022251605987548828
2022-05-30,2022-05-31,0.01414346694946289
2022-05-31,2022-06-01,0.02239227294921875
2022-06-01,2022-06-02,0.022136688232421875
2022-06-02,2022-06-03,0.022433042526245117
2022-06-03,2022-06-06,0.014183282852172852
2022-06-06,2022-06-07,0.022118568420410156
2022-06-07,2022-06-08,0.022297143936157227
