Data_Rebalanceamento,Data_Aplicacao,Turnover,Custo_Transacao
2022-01-10,2022-01-11,0.5,0.0
2022-01-11,2022-01-12,0.008999943592727808,0.0
2022-01-12,2022-01-13,0.07230506815248647,0.0
2022-01-13,2022-01-14,0.07411299444312028,0.0
2022-01-14,2022-01-17,0.007238661806887904,0.0
2022-01-17,2022-01-18,0.009207945384464553,0.0
2022-01-18,2022-01-19,0.07448564180681377,0.0
2022-01-19,2022-01-20,0.07157928149305759,0.0
2022-01-20,2022-01-21,0.06908153522763055,0.0
2022-01-21,2022-01-24,0.07407749198100294,0.0
2022-01-24,2022-01-25,0.07237522963748193,0.0
2022-01-25,2022-01-26,0.07363911266056102,0.0
2022-01-26,2022-01-27,0.075247053736438,0.0
2022-01-27,2022-01-28,0.07141462084162496,0.0
2022-01-28,2022-01-31,0.011627856453410683,0.0
2022-01-31,2022-02-01,0.0062027641672502964,0.0
2022-02-01,2022-02-02,0.07574037332690231,0.0
2022-02-02,2022-02-03,0.007688145101894035,0.0
2022-02-03,2022-02-04,0.07546413662684798,0.0
2022-02-04,2022-02-07,0.007977528109129314,0.0
2022-02-07,2022-02-08,0.13740933950414957,0.0
2022-02-08,2022-02-09,0.07759772780495611,0.0
2022-02-09,2022-02-10,0.005952953587482712,0.0
2022-02-10,2022-02-11,0.07294117617588783,0.0
2022-02-11,2022-02-14,0.010760049520880756,0.0
2022-02-14,2022-02-15,0.005800526736465923,0.0
2022-02-15,2022-02-16,0.07642881686249695,0.0
2022-02-16,2022-02-17,0.0744160698733693,0.0
2022-02-17,2022-02-18,0.07413477819862974,0.0
2022-02-18,2022-02-21,0.14398328174738534,0.0
2022-02-21,2022-02-22,0.07327700970532139,0.0
2022-02-22,2022-02-23,0.07441691297644978,0.0
2022-02-23,2022-02-24,0.07311863678195821,0.0
2022-02-24,2022-02-25,0.007975314146892232,0.0
2022-02-25,2022-03-02,0.07130346224413696,0.0
2022-03-02,2022-03-03,0.08101243289330455,0.0
2022-03-03,2022-03-04,0.009445216507008594,0.0
2022-03-04,2022-03-07,0.07395037256792801,0.0
2022-03-07,2022-03-08,0.14140131251163962,0.0
2022-03-08,2022-03-09,0.13850352990024942,0.0
2022-03-09,2022-03-10,0.07315438835558569,0.0
2022-03-10,2022-03-11,0.07505153211182587,0.0
2022-03-11,2022-03-14,0.14189736107021703,0.0
2022-03-14,2022-03-15,0.07398609782298579,0.0
2022-03-15,2022-03-16,0.00988825830987728,0.0
2022-03-16,2022-03-17,0.007048509757028282,0.0
2022-03-17,2022-03-18,0.07403157003142852,0.0
2022-03-18,2022-03-21,0.005371923361448157,0.0
