,Retorno_Bruto,Retorno_Liquido,Retorno
2022-01-11,0.00048144475710380926,0.00048144475710380926,0.00048144475710380926
2022-01-12,0.0065284199763574755,0.0065284199763574755,0.0065284199763574755
2022-01-13,0.0051246629181824575,0.0051246629181824575,0.0051246629181824575
2022-01-14,0.002056878756592123,0.002056878756592123,0.002056878756592123
2022-01-17,-0.006203834929238203,-0.006203834929238203,-0.006203834929238203
2022-01-18,0.0047009016780026405,0.0047009016780026405,0.0047009016780026405
2022-01-19,0.006697462043470859,0.006697462043470859,0.006697462043470859
2022-01-20,0.003082748568208291,0.003082748568208291,0.003082748568208291
2022-01-21,-0.0037888724608110343,-0.0037888724608110343,-0.0037888724608110343
2022-01-24,-0.0039979133286262,-0.0039979133286262,-0.0039979133286262
2022-01-25,0.003733541154692588,0.003733541154692588,0.003733541154692588
2022-01-26,-0.00495398944720218,-0.00495398944720218,-0.00495398944720218
2022-01-27,0.0029670462454087962,0.0029670462454087962,0.0029670462454087962
2022-01-28,0.0001714282964470169,0.0001714282964470169,0.0001714282964470169
2022-01-31,0.0089403062638448,0.0089403062638448,0.0089403062638448
2022-02-01,0.0010352137723747886,0.0010352137723747886,0.0010352137723747886
2022-02-02,0.0027372070907582214,0.0027372070907582214,0.0027372070907582214
2022-02-03,0.001972627601315639,0.001972627601315639,0.001972627601315639
2022-02-04,-0.003087086542920548,-0.003087086542920548,-0.003087086542920548
2022-02-07,0.00047101855975902214,0.00047101855975902214,0.00047101855975902214
2022-02-08,-0.0013756365879887948,-0.0013756365879887948,-0.0013756365879887948
2022-02-09,0.004405346489892414,0.004405346489892414,0.004405346489892414
2022-02-10,0.007344175385772979,0.007344175385772979,0.007344175385772979
2022-02-11,-0.0013123744702068486,-0.0013123744702068486,-0.0013123744702068486
2022-02-14,-0.00047252964494498583,-0.00047252964494498583,-0.00047252964494498583
2022-02-15,0.002065888587955275,0.002065888587955275,0.002065888587955275
2022-02-16,0.0016864516682745761,0.0016864516682745761,0.0016864516682745761
2022-02-17,7.241632341596031e-07,7.241632341596031e-07,7.241632341596031e-07
2022-02-18,0.00965941508608845,0.00965941508608845,0.00965941508608845
2022-02-21,0.0022663730962916334,0.0022663730962916334,0.0022663730962916334
2022-02-22,0.00942874184095486,0.00942874184095486,0.00942874184095486
2022-02-23,0.003373969131869918,0.003373969131869918,0.003373969131869918
2022-02-24,0.0005545775235453645,0.0005545775235453645,0.0005545775235453645
2022-02-25,-0.0006326638207152277,-0.0006326638207152277,-0.0006326638207152277
2022-03-02,0.0036364601473062117,0.0036364601473062117,0.0036364601473062117
2022-03-03,-0.004598069263292814,-0.004598069263292814,-0.004598069263292814
2022-03-04,0.004255147329572223,0.004255147329572223,0.004255147329572223
