Data_Rebalanceamento,Data_Aplicacao,Turnover,Custo_Transacao
2022-01-10,2022-01-11,0.5,0.0
2022-01-11,2022-01-12,0.10321899027305362,0.0
2022-01-12,2022-01-13,0.10835502597085356,0.0
2022-01-13,2022-01-14,0.14612284118647423,0.0
2022-01-14,2022-01-17,0.13528679882131825,0.0
2022-01-17,2022-01-18,0.22987087788121757,0.0
2022-01-18,2022-01-19,0.20336320307087216,0.0
2022-01-19,2022-01-20,0.21441559835788915,0.0
2022-01-20,2022-01-21,0.06644877688209946,0.0
2022-01-21,2022-01-24,0.23195568409928013,0.0
2022-01-24,2022-01-25,0.13177783167881374,0.0
2022-01-25,2022-01-26,0.11833601091046524,0.0
2022-01-26,2022-01-27,0.11440988573128233,0.0
2022-01-27,2022-01-28,0.11102954746060652,0.0
2022-01-28,2022-01-31,0.10123015101007238,0.0
2022-01-31,2022-02-01,0.1052302727206095,0.0
2022-02-01,2022-02-02,0.22292069255439698,0.0
2022-02-02,2022-02-03,0.11401482055273524,0.0
2022-02-03,2022-02-04,0.06405747763289821,0.0
2022-02-04,2022-02-07,0.14258388945871836,0.0
2022-02-07,2022-02-08,0.10446529989668739,0.0
2022-02-08,2022-02-09,0.10849854384636903,0.0
2022-02-09,2022-02-10,0.10973132389874013,0.0
2022-02-10,2022-02-11,0.06693871590309965,0.0
2022-02-11,2022-02-14,0.061313263723222676,0.0
2022-02-14,2022-02-15,0.09660366526103946,0.0
2022-02-15,2022-02-16,0.16275162156037556,0.0
2022-02-16,2022-02-17,0.21340919233715677,0.0
2022-02-17,2022-02-18,0.12049065395385927,0.0
2022-02-18,2022-02-21,0.0728078322917814,0.0
2022-02-21,2022-02-22,0.1123703604589251,0.0
2022-02-22,2022-02-23,0.061975541079321614,0.0
2022-02-23,2022-02-24,0.1646743190988903,0.0
2022-02-24,2022-02-25,0.18117076213200084,0.0
2022-02-25,2022-03-02,0.09884232329992201,0.0
2022-03-02,2022-03-03,0.1675890862696555,0.0
2022-03-03,2022-03-04,0.20589378297107722,0.0
2022-03-04,2022-03-07,0.10976039121143415,0.0
2022-03-07,2022-03-08,0.2917619657770952,0.0
2022-03-08,2022-03-09,0.17913582482652146,0.0
2022-03-09,2022-03-10,0.1820983368538101,0.0
2022-03-10,2022-03-11,0.12861163818096155,0.0
2022-03-11,2022-03-14,0.1862624010096822,0.0
2022-03-14,2022-03-15,0.10983967540339767,0.0
2022-03-15,2022-03-16,0.10154670987565138,0.0
2022-03-16,2022-03-17,0.10547619825011251,0.0
2022-03-17,2022-03-18,0.05478884626889323,0.0
2022-03-18,2022-03-21,0.06244100877215503,0.0
2022-03-21,2022-03-22,0.008816283826722168,0.0
2022-03-22,2022-03-23,0.05444684827220476,0.0
2022-03-23,2022-03-24,0.002746177273106193,0.0
2022-03-24,2022-03-25,0.06132561726666429,0.0
2022-03-25,2022-03-28,0.08873113397362373,0.0
2022-03-28,2022-03-29,0.17718236244720736,0.0
2022-03-29,2022-03-30,0.19222240650839167,0.0
2022-03-30,2022-03-31,0.17691057690772877,0.0
2022-03-31,2022-04-01,0.0551305687402182,0.0
2022-04-01,2022-04-04,0.13658910426969223,0.0
2022-04-04,2022-04-05,0.22797016232976203,0.0
