,Retorno_Bruto,Retorno_Liquido,Retorno
2022-01-11,0.001188313716946531,0.001188313716946531,0.001188313716946531
2022-01-12,0.006175640933049572,0.006175640933049572,0.006175640933049572
2022-01-13,0.005234861370044485,0.005234861370044485,0.005234861370044485
2022-01-14,-0.0011248517791052372,-0.0011248517791052372,-0.0011248517791052372
2022-01-17,-0.0035047773397939015,-0.0035047773397939015,-0.0035047773397939015
2022-01-18,0.008838851069134705,0.008838851069134705,0.008838851069134705
2022-01-19,0.009753556541518965,0.009753556541518965,0.009753556541518965
2022-01-20,-0.00032830634004488965,-0.00032830634004488965,-0.00032830634004488965
2022-01-21,-0.004500924343898026,-0.004500924343898026,-0.004500924343898026
2022-01-24,-0.0031193588839199113,-0.0031193588839199113,-0.0031193588839199113
2022-01-25,0.003591308266266994,0.003591308266266994,0.003591308266266994
2022-01-26,-0.0047291015928321144,-0.0047291015928321144,-0.0047291015928321144
2022-01-27,0.0041321533331044775,0.0041321533331044775,0.0041321533331044775
2022-01-28,0.0055848624935238116,0.0055848624935238116,0.0055848624935238116
2022-01-31,0.009150767603540508,0.009150767603540508,0.009150767603540508
2022-02-01,-0.0063786453712009715,-0.0063786453712009715,-0.0063786453712009715
2022-02-02,0.0009260354276091141,0.0009260354276091141,0.0009260354276091141
2022-02-03,-0.004518907441846397,-0.004518907441846397,-0.004518907441846397
2022-02-04,-0.0004499814597758896,-0.0004499814597758896,-0.0004499814597758896
2022-02-07,-0.002060450110401375,-0.002060450110401375,-0.002060450110401375
2022-02-08,0.0023571540003275615,0.0023571540003275615,0.0023571540003275615
2022-02-09,0.00489158939103839,0.00489158939103839,0.00489158939103839
2022-02-10,0.007060952152600597,0.007060952152600597,0.007060952152600597
2022-02-11,-0.00601237107667957,-0.00601237107667957,-0.00601237107667957
2022-02-14,-0.001658717977353553,-0.001658717977353553,-0.001658717977353553
2022-02-15,0.004743411443089509,0.004743411443089509,0.004743411443089509
2022-02-16,-0.0030080678869333737,-0.0030080678869333737,-0.0030080678869333737
2022-02-17,0.0001927877189614167,0.0001927877189614167,0.0001927877189614167
2022-02-18,0.01210896236817639,0.01210896236817639,0.01210896236817639
2022-02-21,-0.001557473617558663,-0.001557473617558663,-0.001557473617558663
2022-02-22,0.01030950953619982,0.01030950953619982,0.01030950953619982
2022-02-23,0.0011697067205344927,0.0011697067205344927,0.0011697067205344927
2022-02-24,-0.00227424496506361,-0.00227424496506361,-0.00227424496506361
2022-02-25,-0.0018627450605501732,-0.0018627450605501732,-0.0018627450605501732
2022-03-02,0.00968329689512262,0.00968329689512262,0.00968329689512262
2022-03-03,-0.00041199829201486564,-0.00041199829201486564,-0.00041199829201486564
2022-03-04,0.004786921088507749,0.004786921088507749,0.004786921088507749
2022-03-07,0.0007436195413236522,0.0007436195413236522,0.0007436195413236522
2022-03-08,7.996886535195863e-05,7.996886535195863e-05,7.996886535195863e-05
2022-03-09,0.004105766661790465,0.004105766661790465,0.004105766661790465
2022-03-10,0.009952906717666696,0.009952906717666696,0.009952906717666696
2022-03-11,-0.0037322181115017053,-0.0037322181115017053,-0.0037322181115017053
2022-03-14,-0.007521992511955547,-0.007521992511955547,-0.007521992511955547
2022-03-15,0.002024537203755212,0.002024537203755212,0.002024537203755212
2022-03-16,-0.0018451794051340838,-0.0018451794051340838,-0.0018451794051340838
2022-03-17,0.005621690578186351,0.005621690578186351,0.005621690578186351
2022-03-18,0.007085273271247613,0.007085273271247613,0.007085273271247613
2022-03-21,0.003906069179581949,0.003906069179581949,0.003906069179581949
2022-03-22,0.007368893942101697,0.007368893942101697,0.007368893942101697
2022-03-23,-0.003807457802705113,-0.003807457802705113,-0.003807457802705113
2022-03-24,0.007792531731749106,0.007792531731749106,0.007792531731749106
2022-03-25,-0.0064811817534791705,-0.0064811817534791705,-0.0064811817534791705
2022-03-28,-0.0017445454368788125,-0.0017445454368788125,-0.0017445454368788125
2022-03-29,0.004871361102539046,0.004871361102539046,0.004871361102539046
2022-03-30,-0.0040181626809592565,-0.0040181626809592565,-0.0040181626809592565
2022-03-31,0.0005896267053347027,0.0005896267053347027,0.0005896267053347027
